patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_68_76,['Complex cultivation patterns' 'Mixed forest'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_68_76,S2A_MSIL2A_20170613T101031_68_76,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_71_31,['Arable land' 'Complex cultivation patterns' 'Coniferous forest'],validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_71_31,S2A_MSIL2A_20170613T101031_71_31,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_71_88,['Mixed forest' 'Pastures'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_71_88,S2A_MSIL2A_20170613T101031_71_88,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_74_85,['Inland waters'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_74_85,S2A_MSIL2A_20170613T101031_74_85,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_85_83,['Broad-leaved forest' 'Coniferous forest' 'Mixed forest'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_85_83,S2A_MSIL2A_20170613T101031_85_83,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_00_72,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_0_72,S2A_MSIL2A_20170613T101031_0_72,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_03_81,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_3_81,S2A_MSIL2A_20170613T101031_3_81,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_09_56,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_9_56,S2A_MSIL2A_20170613T101031_9_56,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_10_40,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_10_40,S2A_MSIL2A_20170613T101031_10_40,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_13_67,['Marine waters' 'Mixed forest'],validation,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_13_67,S2A_MSIL2A_20170613T101031_13_67,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_17_77,['Coniferous forest' 'Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_17_77,S2A_MSIL2A_20170613T101031_17_77,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_21_44,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_21_44,S2A_MSIL2A_20170613T101031_21_44,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_23_54,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_23_54,S2A_MSIL2A_20170613T101031_23_54,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_27_80,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_27_80,S2A_MSIL2A_20170613T101031_27_80,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_37_50,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_37_50,S2A_MSIL2A_20170613T101032_37_50,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_41_38,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_41_38,S2A_MSIL2A_20170613T101031_41_38,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_47_53,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_47_53,S2A_MSIL2A_20170613T101032_47_53,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_48_49,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_48_49,S2A_MSIL2A_20170613T101032_48_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_49_13,['Marine waters'],validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_49_13,S2A_MSIL2A_20170613T101031_49_13,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_49_27,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_49_27,S2A_MSIL2A_20170613T101031_49_27,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_51_02,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_51_2,S2A_MSIL2A_20170613T101031_51_2,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_51_04,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_51_4,S2A_MSIL2A_20170613T101031_51_4,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_51_47,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_51_47,S2A_MSIL2A_20170613T101032_51_47,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_55_23,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_55_23,S2A_MSIL2A_20170613T101031_55_23,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_55_49,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Marine waters' 'Mixed forest' 'Transitional woodland, shrub']",test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_55_49,S2A_MSIL2A_20170613T101032_55_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_56_05,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_56_5,S2A_MSIL2A_20170613T101031_56_5,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_12,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_12,S2A_MSIL2A_20170613T101031_61_12,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_62_25,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_62_25,S2A_MSIL2A_20170613T101031_62_25,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_67_09,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_67_9,S2A_MSIL2A_20170613T101031_67_9,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_70_39,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_70_39,S2A_MSIL2A_20170613T101032_70_39,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_70_76,['Coniferous forest' 'Mixed forest'],validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_70_76,S2A_MSIL2A_20170613T101032_70_76,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_74_08,['Coniferous forest' 'Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_74_8,S2A_MSIL2A_20170613T101031_74_8,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_74_75,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_74_75,S2A_MSIL2A_20170613T101032_74_75,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_80_20,['Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_80_20,S2A_MSIL2A_20170613T101032_80_20,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_81_63,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_81_63,S2A_MSIL2A_20170613T101032_81_63,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_87_63,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_87_63,S2A_MSIL2A_20170613T101032_87_63,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_90_30,"['Arable land' 'Coniferous forest' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_90_30,S2A_MSIL2A_20170613T101032_90_30,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_90_73,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_90_73,S2A_MSIL2A_20170613T101032_90_73,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_06_84,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_6_84,S2A_MSIL2A_20170617T113321_6_84,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_08_11,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_8_11,S2A_MSIL2A_20170617T113321_8_11,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_11_17,['Arable land' 'Pastures' 'Urban fabric'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_11_17,S2A_MSIL2A_20170617T113321_11_17,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_11_30,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_11_30,S2A_MSIL2A_20170617T113321_11_30,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_15_28,['Coniferous forest' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_15_28,S2A_MSIL2A_20170617T113321_15_28,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_16_04,"['Broad-leaved forest' 'Coniferous forest' 'Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_16_4,S2A_MSIL2A_20170617T113321_16_4,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_17_49,"['Arable land' 'Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",validation,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_17_49,S2A_MSIL2A_20170617T113321_17_49,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_19_71,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_19_71,S2A_MSIL2A_20170617T113321_19_71,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_22_40,['Coniferous forest' 'Pastures'],validation,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_22_40,S2A_MSIL2A_20170617T113321_22_40,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_22_52,['Pastures'],validation,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_22_52,S2A_MSIL2A_20170617T113321_22_52,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_23_48,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Transitional woodland, shrub']",test,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_23_48,S2A_MSIL2A_20170617T113321_23_48,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_23_67,"['Broad-leaved forest' 'Pastures' 'Transitional woodland, shrub']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_23_67,S2A_MSIL2A_20170617T113321_23_67,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_24_19,['Arable land' 'Mixed forest' 'Pastures'],validation,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_24_19,S2A_MSIL2A_20170617T113321_24_19,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_24_24,"['Arable land' 'Mixed forest' 'Pastures' 'Transitional woodland, shrub']",test,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_24_24,S2A_MSIL2A_20170617T113321_24_24,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_31_27,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_31_27,S2A_MSIL2A_20170617T113321_31_27,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_33_80,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_33_80,S2A_MSIL2A_20170617T113321_33_80,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_34_08,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_34_8,S2A_MSIL2A_20170617T113321_34_8,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_42_52,"['Coniferous forest' 'Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Transitional woodland, shrub']",test,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_42_52,S2A_MSIL2A_20170617T113321_42_52,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_45_84,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_45_84,S2A_MSIL2A_20170617T113321_45_84,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_46_39,['Arable land' 'Pastures'],test,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_46_39,S2A_MSIL2A_20170617T113321_46_39,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_54_35,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",test,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_54_35,S2A_MSIL2A_20170617T113321_54_35,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_56_75,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",validation,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_56_75,S2A_MSIL2A_20170617T113321_56_75,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_59_54,['Arable land' 'Coniferous forest' 'Pastures'],test,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_59_54,S2A_MSIL2A_20170617T113321_59_54,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_60_22,"['Coniferous forest' 'Moors, heathland and sclerophyllous vegetation']",validation,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_60_22,S2A_MSIL2A_20170617T113321_60_22,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_61_52,['Arable land' 'Coniferous forest' 'Pastures'],test,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_61_52,S2A_MSIL2A_20170617T113321_61_52,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_64_02,"['Inland wetlands' 'Moors, heathland and sclerophyllous vegetation']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_64_2,S2A_MSIL2A_20170617T113321_64_2,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_64_14,"['Coniferous forest' 'Inland wetlands'
 'Moors, heathland and sclerophyllous vegetation']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_64_14,S2A_MSIL2A_20170617T113321_64_14,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_66_20,"['Broad-leaved forest' 'Coniferous forest' 'Mixed forest'
 'Moors, heathland and sclerophyllous vegetation' 'Pastures'
 'Transitional woodland, shrub']",train,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_66_20,S2A_MSIL2A_20170617T113321_66_20,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_67_04,"['Inland wetlands' 'Moors, heathland and sclerophyllous vegetation']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_67_4,S2A_MSIL2A_20170617T113321_67_4,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_67_36,['Arable land' 'Coniferous forest' 'Pastures'],test,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_67_36,S2A_MSIL2A_20170617T113321_67_36,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_68_48,['Arable land' 'Broad-leaved forest' 'Mixed forest' 'Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_68_48,S2A_MSIL2A_20170617T113321_68_48,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_71_49,['Arable land' 'Pastures'],validation,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_71_49,S2A_MSIL2A_20170617T113321_71_49,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_72_58,['Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180513_29UPU_72_58,S2A_MSIL2A_20170617T113321_72_58,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_72_71,['Marine waters'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180513_29UPU_72_71,S2A_MSIL2A_20170617T113321_72_71,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_78_08,['Broad-leaved forest' 'Pastures' 'Urban fabric'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_78_8,S2A_MSIL2A_20170617T113321_78_8,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_78_36,['Arable land' 'Marine waters' 'Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_78_36,S2A_MSIL2A_20170617T113321_78_36,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_80_21,['Arable land' 'Complex cultivation patterns' 'Pastures' 'Urban fabric'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_80_21,S2A_MSIL2A_20170617T113321_80_21,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_80_37,['Marine waters'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_80_37,S2A_MSIL2A_20170617T113321_80_37,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_81_76,['Marine waters'],train,Ireland,S1B_IW_GRDH_1SDV_20170616T180513_29UPU_81_76,S2A_MSIL2A_20170617T113321_81_76,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_00_01,"['Broad-leaved forest' 'Coniferous forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_0_1,S2A_MSIL2A_20170701T093031_0_1,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_02_08,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_2_8,S2A_MSIL2A_20170701T093031_2_8,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_04_35,['Coniferous forest' 'Mixed forest' 'Urban fabric'],train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_4_35,S2A_MSIL2A_20170701T093031_4_35,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_09_04,['Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_9_4,S2A_MSIL2A_20170701T093031_9_4,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_12_90,"['Coniferous forest' 'Inland waters' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153137_35VPK_12_90,S2A_MSIL2A_20170701T093031_12_90,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_13_19,['Coniferous forest' 'Mixed forest'],validation,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_13_19,S2A_MSIL2A_20170701T093031_13_19,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_18_52,"['Arable land' 'Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_18_52,S2A_MSIL2A_20170701T093031_18_52,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_25_56,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_25_56,S2A_MSIL2A_20170701T093031_25_56,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_34_22,"['Coniferous forest' 'Inland waters' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_34_22,S2A_MSIL2A_20170701T093031_34_22,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_34_34,['Inland waters'],test,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_34_34,S2A_MSIL2A_20170701T093031_34_34,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_37_46,"['Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Urban fabric']",test,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_37_46,S2A_MSIL2A_20170701T093031_37_46,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_38_26,['Broad-leaved forest' 'Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_38_26,S2A_MSIL2A_20170701T093031_38_26,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_41_08,['Broad-leaved forest' 'Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_41_8,S2A_MSIL2A_20170701T093031_41_8,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_43_31,['Broad-leaved forest' 'Coniferous forest' 'Mixed forest'],test,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_43_31,S2A_MSIL2A_20170701T093031_43_31,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_43_58,"['Broad-leaved forest' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Urban fabric']",test,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_43_58,S2A_MSIL2A_20170701T093031_43_58,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_46_75,['Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170629T153137_35VPK_46_75,S2A_MSIL2A_20170701T093031_46_75,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_49_52,"['Coniferous forest' 'Transitional woodland, shrub']",test,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_49_52,S2A_MSIL2A_20170701T093031_49_52,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_49_59,['Coniferous forest' 'Mixed forest'],test,Finland,S1A_IW_GRDH_1SDV_20170703T043252_35VPK_49_59,S2A_MSIL2A_20170701T093031_49_59,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_49_75,"['Inland waters' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170629T153137_35VPK_49_75,S2A_MSIL2A_20170701T093031_49_75,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_51_08,['Broad-leaved forest' 'Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_51_8,S2A_MSIL2A_20170701T093031_51_8,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_53_33,"['Arable land' 'Coniferous forest' 'Mixed forest'
 'Transitional woodland, shrub']",test,Finland,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_53_33,S2A_MSIL2A_20170701T093031_53_33,False,False
