patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_75_17,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",validation,Austria,S1A_IW_GRDH_1SDV_20170613T165108_33UUP_75_17,S2A_MSIL2A_20170613T101031_75_17,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_76_31,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_76_31,S2A_MSIL2A_20170613T101031_76_31,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_77_26,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_77_26,S2A_MSIL2A_20170613T101031_77_26,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_77_50,['Arable land' 'Complex cultivation patterns' 'Pastures'],validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_77_50,S2A_MSIL2A_20170613T101031_77_50,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_77_60,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Pastures' 'Urban fabric']",validation,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_77_60,S2A_MSIL2A_20170613T101031_77_60,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_78_66,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_78_66,S2A_MSIL2A_20170613T101031_78_66,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_85_45,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_85_45,S2A_MSIL2A_20170613T101031_85_45,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_85_52,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_85_52,S2A_MSIL2A_20170613T101031_85_52,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_85_90,['Broad-leaved forest' 'Coniferous forest' 'Mixed forest'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_85_90,S2A_MSIL2A_20170613T101031_85_90,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_86_25,['Complex cultivation patterns' 'Coniferous forest'],train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_86_25,S2A_MSIL2A_20170613T101031_86_25,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_88_37,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_88_37,S2A_MSIL2A_20170613T101031_88_37,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_88_58,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_88_58,S2A_MSIL2A_20170613T101031_88_58,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_88_61,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_88_61,S2A_MSIL2A_20170613T101031_88_61,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_02_61,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_2_61,S2A_MSIL2A_20170613T101031_2_61,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_02_88,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_2_88,S2A_MSIL2A_20170613T101031_2_88,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_03_80,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_3_80,S2A_MSIL2A_20170613T101031_3_80,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_04_79,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_4_79,S2A_MSIL2A_20170613T101031_4_79,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_07_43,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_7_43,S2A_MSIL2A_20170613T101031_7_43,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_09_79,['Coniferous forest' 'Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_9_79,S2A_MSIL2A_20170613T101031_9_79,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_10_60,['Coniferous forest' 'Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_10_60,S2A_MSIL2A_20170613T101031_10_60,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_12_89,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_12_89,S2A_MSIL2A_20170613T101031_12_89,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_16_74,"['Inland waters' 'Mixed forest' 'Transitional woodland, shrub'
 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_16_74,S2A_MSIL2A_20170613T101031_16_74,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_16_75,"['Coniferous forest' 'Inland waters' 'Marine waters' 'Mixed forest'
 'Transitional woodland, shrub']",validation,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_16_75,S2A_MSIL2A_20170613T101031_16_75,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_18_53,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_18_53,S2A_MSIL2A_20170613T101031_18_53,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_24_40,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_24_40,S2A_MSIL2A_20170613T101031_24_40,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_27_69,['Coniferous forest' 'Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_27_69,S2A_MSIL2A_20170613T101031_27_69,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_27_88,"['Coastal wetlands' 'Industrial or commercial units' 'Marine waters'
 'Mixed forest' 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_27_88,S2A_MSIL2A_20170613T101031_27_88,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_32_35,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_32_35,S2A_MSIL2A_20170613T101031_32_35,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_33_76,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_33_76,S2A_MSIL2A_20170613T101031_33_76,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_34_43,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_34_43,S2A_MSIL2A_20170613T101031_34_43,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_38_26,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_38_26,S2A_MSIL2A_20170613T101031_38_26,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_38_36,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_38_36,S2A_MSIL2A_20170613T101031_38_36,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_40_49,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_40_49,S2A_MSIL2A_20170613T101032_40_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_42_24,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_42_24,S2A_MSIL2A_20170613T101031_42_24,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_44_27,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_44_27,S2A_MSIL2A_20170613T101031_44_27,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_47_10,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_47_10,S2A_MSIL2A_20170613T101031_47_10,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_49_33,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_49_33,S2A_MSIL2A_20170613T101031_49_33,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_49_70,['Coastal wetlands' 'Marine waters' 'Mixed forest'],validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_49_70,S2A_MSIL2A_20170613T101032_49_70,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_50_60,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_50_60,S2A_MSIL2A_20170613T101032_50_60,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_51_35,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_51_35,S2A_MSIL2A_20170613T101031_51_35,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_52_00,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_52_0,S2A_MSIL2A_20170613T101031_52_0,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_53_30,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_53_30,S2A_MSIL2A_20170613T101031_53_30,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_53_45,['Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_53_45,S2A_MSIL2A_20170613T101032_53_45,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_54_63,['Marine waters'],test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_54_63,S2A_MSIL2A_20170613T101032_54_63,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_55_13,['Marine waters'],validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_55_13,S2A_MSIL2A_20170613T101031_55_13,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_56_21,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_56_21,S2A_MSIL2A_20170613T101031_56_21,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_59_88,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_59_88,S2A_MSIL2A_20170613T101032_59_88,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_60_62,"['Mixed forest' 'Transitional woodland, shrub']",test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_60_62,S2A_MSIL2A_20170613T101032_60_62,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_60_83,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_60_83,S2A_MSIL2A_20170613T101032_60_83,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_02,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_2,S2A_MSIL2A_20170613T101031_61_2,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_62_34,['Coniferous forest' 'Marine waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_62_34,S2A_MSIL2A_20170613T101031_62_34,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_63_29,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_63_29,S2A_MSIL2A_20170613T101031_63_29,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_63_83,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub' 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_63_83,S2A_MSIL2A_20170613T101032_63_83,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_64_85,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_64_85,S2A_MSIL2A_20170613T101032_64_85,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_65_08,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_65_8,S2A_MSIL2A_20170613T101031_65_8,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_66_17,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_66_17,S2A_MSIL2A_20170613T101031_66_17,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_67_49,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",test,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_67_49,S2A_MSIL2A_20170613T101032_67_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_68_71,"['Arable land' 'Mixed forest' 'Transitional woodland, shrub']",validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_68_71,S2A_MSIL2A_20170613T101032_68_71,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_69_01,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_69_1,S2A_MSIL2A_20170613T101031_69_1,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_69_66,"['Arable land' 'Coniferous forest' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_69_66,S2A_MSIL2A_20170613T101032_69_66,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_72_04,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_72_4,S2A_MSIL2A_20170613T101031_72_4,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_72_59,"['Arable land' 'Coniferous forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_72_59,S2A_MSIL2A_20170613T101032_72_59,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_75_53,['Coniferous forest' 'Mixed forest'],validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_75_53,S2A_MSIL2A_20170613T101032_75_53,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_75_72,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_75_72,S2A_MSIL2A_20170613T101032_75_72,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_76_41,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_76_41,S2A_MSIL2A_20170613T101032_76_41,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_76_80,"['Arable land' 'Coniferous forest' 'Industrial or commercial units'
 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_76_80,S2A_MSIL2A_20170613T101032_76_80,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_77_61,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",validation,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_77_61,S2A_MSIL2A_20170613T101032_77_61,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_78_06,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_78_6,S2A_MSIL2A_20170613T101031_78_6,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_78_64,['Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_78_64,S2A_MSIL2A_20170613T101032_78_64,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_78_76,"['Arable land' 'Coniferous forest' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_78_76,S2A_MSIL2A_20170613T101032_78_76,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_79_41,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_79_41,S2A_MSIL2A_20170613T101032_79_41,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_81_14,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_81_14,S2A_MSIL2A_20170613T101031_81_14,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_81_55,['Coniferous forest' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_81_55,S2A_MSIL2A_20170613T101032_81_55,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_82_83,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_82_83,S2A_MSIL2A_20170613T101032_82_83,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_84_08,['Coniferous forest' 'Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_84_8,S2A_MSIL2A_20170613T101031_84_8,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_86_54,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_86_54,S2A_MSIL2A_20170613T101032_86_54,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_87_07,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_87_7,S2A_MSIL2A_20170613T101031_87_7,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_88_05,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_88_5,S2A_MSIL2A_20170613T101031_88_5,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_89_68,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_89_68,S2A_MSIL2A_20170613T101032_89_68,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_00_39,['Arable land' 'Complex cultivation patterns' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_0_39,S2A_MSIL2A_20170617T113321_0_39,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_01_49,['Arable land' 'Complex cultivation patterns' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_1_49,S2A_MSIL2A_20170617T113321_1_49,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_02_53,['Coniferous forest' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_2_53,S2A_MSIL2A_20170617T113321_2_53,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_03_60,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_3_60,S2A_MSIL2A_20170617T113321_3_60,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_06_32,"['Arable land' 'Mixed forest' 'Pastures' 'Transitional woodland, shrub']",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_6_32,S2A_MSIL2A_20170617T113321_6_32,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_06_61,['Broad-leaved forest' 'Mixed forest' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_6_61,S2A_MSIL2A_20170617T113321_6_61,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_06_77,['Complex cultivation patterns' 'Coniferous forest' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_6_77,S2A_MSIL2A_20170617T113321_6_77,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_07_52,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_7_52,S2A_MSIL2A_20170617T113321_7_52,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_07_90,['Complex cultivation patterns' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_7_90,S2A_MSIL2A_20170617T113321_7_90,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_08_44,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_8_44,S2A_MSIL2A_20170617T113321_8_44,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_08_82,['Inland waters' 'Pastures' 'Urban fabric'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_8_82,S2A_MSIL2A_20170617T113321_8_82,False,False
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_10_79,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_10_79,S2A_MSIL2A_20170617T113321_10_79,False,False
